                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss
                    110,                0.34918,                0.95029,                 1.0871,              0.0056804,              0.0056804,              0.0056804,                0.86053,                  0.775,                 0.8531,                0.34926,                0.42353,                 1.0636,                 1.1371
                    111,                0.35122,                0.94639,                  1.093,              0.0056404,              0.0056404,              0.0056404,                0.88566,                   0.75,                0.82015,                0.26681,                0.46605,                  1.134,                 1.1939
                    112,                0.34479,                0.89548,                 1.0841,              0.0056004,              0.0056004,              0.0056004,                0.81975,                 0.7375,                0.82265,                0.32298,                0.43211,                 1.1525,                 1.1312
                    113,                0.35106,                0.93838,                 1.0842,              0.0055604,              0.0055604,              0.0055604,                   0.84,                 0.7125,                0.78699,                 0.2643,                0.46765,                 1.1804,                 1.2066
                    114,                0.33755,                0.94517,                 1.0699,              0.0055204,              0.0055204,              0.0055204,                0.81496,                 0.7625,                0.83324,                0.30398,                0.45709,                 1.0566,                 1.1642
                    115,                0.35338,                0.93912,                 1.0761,              0.0054805,              0.0054805,              0.0054805,                0.84556,                 0.7625,                0.80674,                0.28801,                 0.4606,                 1.0936,                 1.1723
                    116,                 0.3573,                 0.9348,                 1.0894,              0.0054405,              0.0054405,              0.0054405,                0.91764,                 0.7125,                0.80184,                0.27819,                0.45264,                  1.051,                 1.2101
                    117,                0.34319,                0.93534,                  1.068,              0.0054005,              0.0054005,              0.0054005,                0.94702,                 0.7875,                 0.8559,                0.34608,                 0.4297,                 1.0241,                 1.1257
                    118,                0.34242,                0.92309,                 1.0799,              0.0053605,              0.0053605,              0.0053605,                0.91232,                0.78046,                0.86339,                0.34918,                0.41788,                0.98743,                  1.109
                    119,                0.34475,                0.94778,                 1.0817,              0.0053205,              0.0053205,              0.0053205,                0.90721,                 0.8125,                0.83401,                0.29998,                0.44623,                  1.048,                 1.1718
                    120,                0.33968,                0.91014,                 1.0726,              0.0052805,              0.0052805,              0.0052805,                0.86355,                 0.7625,                0.81941,                0.30036,                 0.4587,                 1.0241,                 1.2073
                    121,                0.34414,                0.90039,                  1.067,              0.0052405,              0.0052405,              0.0052405,                 0.8907,                0.81497,                 0.8713,                0.37613,                0.40035,                 1.0022,                 1.0946
                    122,                0.34429,                0.93619,                 1.0696,              0.0052005,              0.0052005,              0.0052005,                0.86031,                0.76985,                0.83455,                0.33279,                0.43415,                 1.0634,                 1.1722
                    123,                0.33887,                0.93537,                 1.0671,              0.0051605,              0.0051605,              0.0051605,                0.90233,                0.80845,                0.88523,                0.34395,                0.41928,                0.98205,                 1.1422
                    124,                0.33607,                0.89994,                 1.0696,              0.0051205,              0.0051205,              0.0051205,                0.88556,                0.77381,                0.83796,                0.30452,                0.46244,                 1.0583,                 1.1994
                    125,                 0.3395,                0.90045,                 1.0569,              0.0050805,              0.0050805,              0.0050805,                0.88974,                  0.807,                0.85988,                0.32683,                0.43964,                0.97294,                  1.179
                    126,                0.33246,                0.85875,                 1.0468,              0.0050405,              0.0050405,              0.0050405,                0.93016,                 0.8324,                0.88638,                0.33243,                0.43786,                  1.038,                 1.1496
                    127,                0.32883,                0.83781,                 1.0594,              0.0050005,              0.0050005,              0.0050005,                0.90584,                    0.8,                0.85938,                0.31058,                0.45363,                 1.0111,                 1.1859
                    128,                0.33527,                0.85636,                  1.058,              0.0049605,              0.0049605,              0.0049605,                0.93772,                 0.8375,                 0.8877,                0.34012,                0.42819,                0.97641,                 1.1409
                    129,                 0.3348,                0.87699,                 1.0634,              0.0049205,              0.0049205,              0.0049205,                0.95943,                0.88684,                 0.9073,                0.33814,                0.43868,                 1.0074,                 1.1341
                    130,                0.32948,                0.85751,                 1.0555,              0.0048805,              0.0048805,              0.0048805,                0.94131,                 0.8125,                0.87006,                0.36342,                0.41067,                0.99686,                 1.0933
                    131,                 0.3289,                 0.8626,                  1.067,              0.0048405,              0.0048405,              0.0048405,                0.87918,                0.81871,                0.87761,                0.30472,                0.45088,                 1.0645,                 1.1746
                    132,                0.32324,                0.84294,                 1.0422,              0.0048005,              0.0048005,              0.0048005,                 0.8938,                    0.8,                0.84097,                0.31749,                0.44833,                 1.0102,                 1.1736
                    133,                0.32552,                0.84982,                 1.0384,              0.0047605,              0.0047605,              0.0047605,                0.87805,                   0.85,                0.85511,                0.31962,                0.42344,                 1.0458,                 1.1099
                    134,                0.32584,                0.86542,                  1.045,              0.0047205,              0.0047205,              0.0047205,                 0.8531,                  0.825,                0.83577,                0.30044,                0.43903,                 1.0213,                 1.1543
                    135,                0.33674,                0.86361,                 1.0603,              0.0046805,              0.0046805,              0.0046805,                0.94343,                    0.8,                0.86161,                0.32106,                0.44596,                 1.0028,                 1.1441
                    136,                0.33142,                0.88178,                 1.0524,              0.0046405,              0.0046405,              0.0046405,                0.90613,                 0.8125,                 0.8572,                0.30251,                0.45322,                 1.0389,                 1.1705
                    137,                0.33259,                 0.8522,                 1.0483,              0.0046005,              0.0046005,              0.0046005,                0.90605,                0.72331,                0.79877,                0.30652,                0.44215,                 1.1408,                 1.1442
                    138,                 0.3423,                0.86307,                 1.0482,              0.0045605,              0.0045605,              0.0045605,                 0.9048,                0.83163,                0.84802,                0.32166,                0.42544,                 1.0211,                 1.1244
                    139,                0.33098,                0.84829,                 1.0268,              0.0045205,              0.0045205,              0.0045205,                0.85406,                    0.8,                0.82273,                 0.2806,                0.44821,                 1.0711,                 1.1573
                    140,                0.32086,                0.85298,                 1.0297,              0.0044806,              0.0044806,              0.0044806,                0.93195,                    0.8,                0.82657,                0.29515,                0.46392,                 1.0925,                 1.1861
                    141,                0.34308,                0.86896,                  1.068,              0.0044406,              0.0044406,              0.0044406,                0.87101,                  0.775,                0.82548,                0.29901,                0.45689,                 1.0534,                  1.197
                    142,                0.32648,                0.82428,                 1.0397,              0.0044006,              0.0044006,              0.0044006,                0.89643,                0.75735,                0.84344,                0.29572,                0.45278,                 1.0267,                 1.1812
                    143,                0.32089,                0.81597,                 1.0392,              0.0043606,              0.0043606,              0.0043606,                0.83915,                0.78256,                0.83724,                 0.2962,                0.45912,                 1.0266,                 1.1877
                    144,                0.33034,                0.81341,                 1.0478,              0.0043206,              0.0043206,              0.0043206,                0.90383,                 0.8125,                0.87403,                0.36538,                 0.4052,                0.97954,                 1.0853
                    145,                0.31648,                0.82315,                 1.0378,              0.0042806,              0.0042806,              0.0042806,                0.94234,                 0.7625,                0.86758,                0.34156,                0.42776,                  1.043,                 1.1266
                    146,                0.32736,                0.85897,                 1.0596,              0.0042406,              0.0042406,              0.0042406,                0.91513,                0.80873,                0.88098,                0.29487,                0.46067,                0.97523,                 1.1838
                    147,                0.33422,                0.82057,                 1.0499,              0.0042006,              0.0042006,              0.0042006,                0.90356,                   0.85,                0.90606,                0.34876,                0.45126,                0.96421,                 1.1512
                    148,                0.31784,                0.79277,                 1.0362,              0.0041606,              0.0041606,              0.0041606,                 0.9142,                0.79909,                0.85951,                 0.3481,                0.42305,                0.99663,                 1.1037
                    149,                0.31908,                0.79826,                  1.031,              0.0041206,              0.0041206,              0.0041206,                0.86346,                0.79048,                0.86355,                0.32306,                0.42528,                  1.021,                  1.134
